rank,prev_rank,name,league,off,def,spi
177,171,Parma,Italy Serie A,1.43,1.19,51.17
178,184,FC Copenhagen,Danish SAS-Ligaen,1.56,1.34,51.05
179,183,Crotone,Italy Serie A,1.48,1.25,51.03
180,191,Toulouse,French Ligue 2,1.57,1.34,50.99
181,185,Los Angeles FC,Major League Soccer,1.78,1.55,50.97
182,186,Philadelphia Union,Major League Soccer,1.6,1.38,50.91
183,159,Middlesbrough,English League Championship,1.3,1.08,50.79
184,187,CFR 1907 Cluj,UEFA Europa League,1.47,1.25,50.79
185,178,Lorient,French Ligue 1,1.44,1.23,50.77
186,196,Fluminense,Brasileiro Série A,1.29,1.08,50.72
187,188,New York City FC,Major League Soccer,1.67,1.46,50.69
188,202,Atlético Paranaense,Brasileiro Série A,1.18,0.96,50.65
189,190,AGF Aarhus,Danish SAS-Ligaen,1.57,1.36,50.58
190,182,Alanyaspor,Turkish Turkcell Super Lig,1.48,1.27,50.56
191,206,KAA Gent,Belgian Jupiler League,1.43,1.23,50.44
192,189,Cardiff City,English League Championship,1.36,1.15,50.34
193,197,Reading,English League Championship,1.28,1.08,50.34
194,194,Ludogorets,UEFA Europa League,1.54,1.35,50.16
195,201,Standard Liege,Belgian Jupiler League,1.49,1.3,50.14
196,174,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.43,1.24,50.1
197,215,Mallorca,Spanish Segunda Division,1.25,1.06,50.06
198,181,Santos,Brasileiro Série A,1.34,1.15,49.97
199,198,Lech Poznan,UEFA Europa League,1.34,1.16,49.84
200,192,Dijon FCO,French Ligue 1,1.25,1.07,49.84
201,199,Rubin Kazan,Russian Premier Liga,1.19,1.0,49.83
202,200,Shandong Luneng,Chinese Super League,1.6,1.43,49.81
203,203,Brondby,Danish SAS-Ligaen,1.55,1.39,49.46
204,204,CA Independiente,Argentina Primera Division,1.2,1.04,49.46
205,205,León,Mexican Primera Division Torneo Clausura,1.46,1.3,49.27
206,195,Rio Ave,Portuguese Liga,1.19,1.06,48.73
207,213,Pachuca,Mexican Primera Division Torneo Clausura,1.33,1.2,48.65
208,207,Newell's Old Boys,Argentina Primera Division,1.24,1.11,48.58
209,208,St Gallen,Swiss Raiffeisen Super League,1.42,1.3,48.5
210,210,Racing Club,Argentina Primera Division,1.18,1.06,48.4
211,214,Seattle Sounders FC,Major League Soccer,1.43,1.33,48.14
212,209,Fortaleza,Brasileiro Série A,1.13,1.01,48.11
213,219,Barnsley,English League Championship,1.25,1.14,48.01
214,212,Hamburg SV,German 2. Bundesliga,1.49,1.4,47.83
215,217,FK Qarabag,UEFA Europa League,1.32,1.23,47.77
216,211,Queens Park Rangers,English League Championship,1.32,1.23,47.73
217,220,Panathinaikos,Greek Super League,1.08,0.98,47.54
218,230,Rotherham United,English League Championship,1.35,1.27,47.49
219,224,Derby County,English League Championship,1.15,1.07,47.27
220,193,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.47,1.41,47.25
221,223,Clermont Foot,French Ligue 2,1.13,1.06,47.01
222,221,Millwall,English League Championship,1.17,1.1,46.95
223,218,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.42,1.38,46.62
224,222,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.5,1.48,46.46
225,225,Guadalajara,Mexican Primera Division Torneo Clausura,1.35,1.32,46.45
226,216,Bahía,Brasileiro Série A,1.32,1.29,46.32
227,226,Portimonense,Portuguese Liga,1.2,1.17,46.25
228,228,Atlético Goianiense,Brasileiro Série A,1.17,1.13,46.12
229,227,FC Nordsjaelland,Danish SAS-Ligaen,1.47,1.47,46.06
230,244,Santa Clara,Portuguese Liga,1.23,1.21,46.02
231,229,Lanus,Argentina Primera Division,1.28,1.27,45.68
232,231,FC Khimki,Russian Premier Liga,1.34,1.35,45.53
233,233,Nottingham Forest,English League Championship,1.14,1.14,45.45
234,237,Omonia Nicosia,UEFA Europa League,1.41,1.43,45.33
235,239,New England Revolution,Major League Soccer,1.4,1.43,45.11
236,234,Preston North End,English League Championship,1.17,1.18,44.99
237,240,Terek Grozny,Russian Premier Liga,1.09,1.1,44.96
238,241,FC Zorya Luhansk,UEFA Europa League,1.27,1.29,44.92
239,242,Talleres de Córdoba,Argentina Primera Division,1.21,1.23,44.82
240,235,Famalicao,Portuguese Liga,1.18,1.2,44.72
241,243,Yokohama F. Marinos,Japanese J League,1.72,1.8,44.62
242,257,Huddersfield Town,English League Championship,1.23,1.27,44.61
243,232,Almeria,Spanish Segunda Division,1.19,1.22,44.59
244,238,Sporting de Charleroi,Belgian Jupiler League,1.38,1.43,44.56
245,245,Ural Sverdlovsk Oblast,Russian Premier Liga,1.16,1.2,44.32
246,236,Pumas Unam,Mexican Primera Division Torneo Clausura,1.27,1.34,44.11
247,246,FC Lugano,Swiss Raiffeisen Super League,1.18,1.24,44.11
248,247,Djurgardens IF,Swedish Allsvenskan,1.3,1.37,44.07
249,249,Luton Town,English League Championship,1.08,1.14,43.83
250,250,Aris Salonika,Greek Super League,1.32,1.4,43.8
251,255,Nimes,French Ligue 1,1.32,1.42,43.59
252,254,Gil Vicente,Portuguese Liga,1.04,1.11,43.53
253,256,FC Groningen,Dutch Eredivisie,1.21,1.29,43.46
254,248,FC Twente,Dutch Eredivisie,1.38,1.5,43.13
255,268,Vasco da Gama,Brasileiro Série A,1.15,1.25,43.06
256,273,Hannover 96,German 2. Bundesliga,1.27,1.38,43.04
257,253,SC Farense,Portuguese Liga,1.21,1.31,43.03
258,261,Kashima Antlers,Japanese J League,1.27,1.39,42.93
259,263,Argentinos Juniors,Argentina Primera Division,1.0,1.08,42.87
260,259,Fortuna Düsseldorf,German 2. Bundesliga,1.24,1.35,42.85
261,264,FC Arsenal Tula,Russian Premier Liga,1.15,1.26,42.79
262,260,Sparta,Dutch Eredivisie,1.38,1.52,42.74
263,265,Rosario Central,Argentina Primera Division,1.15,1.27,42.73
264,266,Estudiantes,Argentina Primera Division,1.0,1.1,42.6
265,274,Goztepe,Turkish Turkcell Super Lig,1.26,1.41,42.22
266,287,Heracles,Dutch Eredivisie,1.27,1.42,42.18
267,276,Troyes,French Ligue 2,1.06,1.19,42.14
268,267,Portland Timbers,Major League Soccer,1.47,1.65,42.13
269,270,Moreirense,Portuguese Liga,1.06,1.19,42.1
270,251,Maritimo,Portuguese Liga,1.13,1.26,42.08
271,252,Sivasspor,Turkish Turkcell Super Lig,1.17,1.31,42.06
272,269,Randers FC,Danish SAS-Ligaen,1.23,1.39,42.03
273,271,FC Luzern,Swiss Raiffeisen Super League,1.38,1.56,41.99
274,310,FC Zurich,Swiss Raiffeisen Super League,1.34,1.52,41.98
275,258,Rayo Vallecano,Spanish Segunda Division,1.1,1.24,41.88
276,342,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.21,1.37,41.84
277,277,Arsenal Sarandi,Argentina Primera Division,1.28,1.45,41.78
278,262,Bristol City,English League Championship,1.16,1.31,41.76
279,278,Rosenborg,Norwegian Tippeligaen,1.34,1.53,41.66
280,312,KV Oostende,Belgian Jupiler League,1.31,1.5,41.53
281,280,Atlético San Luis,Mexican Primera Division Torneo Clausura,1.21,1.38,41.45
282,281,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
283,282,Sporting Kansas City,Major League Soccer,1.36,1.57,41.31
284,283,Servette,Swiss Raiffeisen Super League,1.22,1.41,41.29
285,303,Coventry City,English League Championship,1.1,1.28,41.26
286,284,Atlético Tucumán,Argentina Primera Division,1.07,1.24,41.23
287,331,KV Mechelen,Belgian Jupiler League,1.45,1.68,41.21
288,285,Chicago Fire,Major League Soccer,1.48,1.72,41.16
289,286,Minnesota United FC,Major League Soccer,1.42,1.65,41.11
290,293,Monza,Italy Serie B,1.15,1.34,41.1
291,288,Dundalk,UEFA Europa League,1.48,1.72,41.02
292,306,Heerenveen,Dutch Eredivisie,1.45,1.69,41.02
293,290,SC Paderborn,German 2. Bundesliga,1.21,1.41,40.99
294,289,San Lorenzo,Argentina Primera Division,1.14,1.33,40.96
295,272,Boavista,Portuguese Liga,1.06,1.24,40.91
296,279,Auxerre,French Ligue 2,1.24,1.45,40.89
297,291,FC Ufa,Russian Premier Liga,0.94,1.1,40.81
298,292,Columbus Crew,Major League Soccer,1.28,1.5,40.81
299,304,SpVgg Greuther Fürth,German 2. Bundesliga,1.24,1.46,40.8
300,298,Hatayspor,Turkish Turkcell Super Lig,1.21,1.42,40.7
301,294,Orlando City SC,Major League Soccer,1.32,1.56,40.56
302,295,Inter Miami CF,Major League Soccer,1.28,1.51,40.49
303,324,Sport Recife,Brasileiro Série A,1.04,1.23,40.47
304,296,Patronato,Argentina Primera Division,1.2,1.43,40.35
305,297,Gimnasia La Plata,Argentina Primera Division,0.98,1.17,40.3
306,300,IFK Norrkoping,Swedish Allsvenskan,1.53,1.82,40.17
307,275,Amiens,French Ligue 2,1.04,1.25,40.13
308,326,Belenenses,Portuguese Liga,0.89,1.08,39.91
309,305,Colorado Rapids,Major League Soccer,1.37,1.65,39.89
310,307,Slovan Liberec,UEFA Europa League,1.19,1.44,39.87
311,309,Tijuana,Mexican Primera Division Torneo Clausura,1.13,1.38,39.82
312,311,VfL Bochum,German 2. Bundesliga,1.24,1.5,39.77
313,301,Konyaspor,Turkish Turkcell Super Lig,1.26,1.53,39.68
314,314,Toronto FC,Major League Soccer,1.29,1.57,39.67
315,315,Banfield,Argentina Primera Division,0.98,1.2,39.66
316,394,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.34,1.63,39.63
317,299,Botafogo,Brasileiro Série A,1.17,1.43,39.61
318,334,Goiás,Brasileiro Série A,1.16,1.42,39.57
319,317,Rijeka,UEFA Europa League,1.28,1.56,39.55
320,319,Arizona United,United Soccer League,1.48,1.8,39.5
321,320,FC Dallas,Major League Soccer,1.27,1.55,39.47
322,349,Hull City,English League One,1.25,1.53,39.45
323,323,Kashiwa Reysol,Japanese J League,1.26,1.55,39.36
324,302,Leganes,Spanish Segunda Division,0.95,1.17,39.33
325,347,C.D. Nacional,Portuguese Liga,1.08,1.34,39.26
326,325,Union Santa Fe,Argentina Primera Division,1.0,1.25,39.16
327,327,Asteras Tripolis,Greek Super League,1.04,1.3,39.02
328,328,BK Hacken,Swedish Allsvenskan,1.07,1.34,38.97
329,362,PEC Zwolle,Dutch Eredivisie,1.2,1.5,38.94
330,313,Necaxa,Mexican Primera Division Torneo Clausura,1.15,1.43,38.93
331,338,Coritiba,Brasileiro Série A,1.04,1.3,38.9
332,330,Odense BK,Danish SAS-Ligaen,1.19,1.49,38.89
333,332,New York Red Bulls,Major League Soccer,1.3,1.63,38.83
334,333,AaB,Danish SAS-Ligaen,1.14,1.44,38.73
335,335,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
336,360,Toluca,Mexican Primera Division Torneo Clausura,1.18,1.49,38.63
337,318,St. Pölten,Austrian T-Mobile Bundesliga,1.35,1.7,38.56
338,336,Henan Jianye,Chinese Super League,1.25,1.57,38.55
339,358,Querétaro,Mexican Primera Division Torneo Clausura,1.09,1.39,38.54
340,316,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.14,1.45,38.46
341,357,Fatih Karagümrük,Turkish Turkcell Super Lig,1.21,1.54,38.42
342,339,Atlas,Mexican Primera Division Torneo Clausura,1.08,1.39,38.29
343,340,Birmingham,English League Championship,1.0,1.29,38.23
344,341,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
345,329,Tondela,Portuguese Liga,1.1,1.42,38.12
346,343,Wycombe Wanderers,English League Championship,1.13,1.45,38.11
347,344,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
348,346,Huracán,Argentina Primera Division,0.95,1.24,37.93
349,348,Hammarby,Swedish Allsvenskan,1.48,1.89,37.89
350,322,St. Truidense,Belgian Jupiler League,1.19,1.54,37.87
351,364,Holstein Kiel,German 2. Bundesliga,1.19,1.53,37.84
352,308,SV Zulte Waregem,Belgian Jupiler League,1.34,1.72,37.84
353,351,Karlsruher SC,German 2. Bundesliga,1.28,1.65,37.81
354,352,Valerenga,Norwegian Tippeligaen,1.18,1.53,37.74
355,371,Girona FC,Spanish Segunda Division,0.83,1.09,37.74
356,353,FC Juárez,Mexican Primera Division Torneo Clausura,1.11,1.45,37.63
357,321,OH Leuven,Belgian Jupiler League,1.33,1.72,37.63
358,354,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
359,379,Kasimpasa,Turkish Turkcell Super Lig,1.22,1.59,37.61
360,355,Cerezo Osaka,Japanese J League,0.97,1.28,37.56
361,356,Nagoya Grampus Eight,Japanese J League,0.9,1.2,37.55
362,359,Atlanta United FC,Major League Soccer,1.11,1.46,37.41
363,386,Fortuna Sittard,Dutch Eredivisie,1.34,1.75,37.3
364,361,Atromitos,Greek Super League,1.0,1.33,37.25
365,363,Central Córdoba Santiago del Estero,Argentina Primera Division,1.0,1.34,37.16
366,378,Grenoble,French Ligue 2,0.95,1.28,37.16
367,365,Nashville SC,Major League Soccer,0.99,1.33,36.92
368,372,Hartberg,Austrian T-Mobile Bundesliga,1.26,1.67,36.84
369,345,Lausanne Sports,Swiss Raiffeisen Super League,1.07,1.44,36.73
370,350,Sheffield Wednesday,English League Championship,0.97,1.33,36.69
371,369,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
372,375,Antalyaspor,Turkish Turkcell Super Lig,1.02,1.39,36.64
373,384,Empoli,Italy Serie B,1.12,1.52,36.53
374,374,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
375,373,Real Oviedo,Spanish Segunda Division,0.97,1.33,36.38
376,376,Houston Dynamo,Major League Soccer,1.28,1.73,36.3
377,390,FC Sion,Swiss Raiffeisen Super League,1.11,1.51,36.29
378,377,Melbourne City,Australian A-League,1.19,1.62,36.26
379,380,Sanfrecce Hiroshima,Japanese J League,0.91,1.28,36.03
380,381,Sonderjyske,Danish SAS-Ligaen,1.13,1.56,35.98
381,406,KFCO Beerschot-Wilrijk,Belgian Jupiler League,1.34,1.83,35.94
382,382,FC Tambov,Russian Premier Liga,0.99,1.38,35.94
383,383,Puebla,Mexican Primera Division Torneo Clausura,0.97,1.36,35.91
384,411,Mouscron-Peruwelz,Belgian Jupiler League,1.01,1.41,35.91
385,385,San Jose Earthquakes,Major League Soccer,1.29,1.78,35.71
386,397,Las Palmas,Spanish Segunda Division,0.96,1.37,35.62
387,392,Caykur Rizespor,Turkish Turkcell Super Lig,1.22,1.69,35.55
388,370,KV Kortrijk,Belgian Jupiler League,1.06,1.5,35.52
389,388,FK Volgograd,Russian Premier Liga,0.93,1.33,35.48
390,389,IF Elfsborg,Swedish Allsvenskan,1.2,1.68,35.41
391,367,1. FC Heidenheim 1846,German 2. Bundesliga,1.01,1.44,35.32
392,337,Eupen,Belgian Jupiler League,1.13,1.6,35.05
393,366,Sporting Gijón,Spanish Segunda Division,0.78,1.16,34.99
394,395,OFI Crete,Greek Super League,1.06,1.52,34.85
395,396,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
396,387,Lecce,Italy Serie B,1.12,1.61,34.74
397,398,Cittadella,Italy Serie B,0.98,1.44,34.57
398,416,Livingston,Scottish Premiership,1.08,1.57,34.55
399,401,Viking FK,Norwegian Tippeligaen,1.35,1.92,34.4
400,423,Lugo,Spanish Segunda Division,0.82,1.24,34.34
401,404,Los Angeles Galaxy,Major League Soccer,1.27,1.83,34.26
402,393,SV Darmstadt 98,German 2. Bundesliga,1.17,1.71,34.01
403,419,Aberdeen,Scottish Premiership,0.99,1.49,33.96
404,399,Hibernian,Scottish Premiership,1.01,1.51,33.9
405,391,Willem II,Dutch Eredivisie,1.28,1.86,33.86
406,407,Gamba Osaka,Japanese J League,1.02,1.53,33.76
407,408,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
408,409,Orlando Pirates,South African ABSA Premier League,0.98,1.48,33.73
